,log2FoldChange,pvalue,padj
ENSMUSG00000000001,0.03045789747511034,0.39029038837861685,0.55469882225697
ENSMUSG00000000028,-0.24192317272053956,0.41585922551680266,0.578940539472851
ENSMUSG00000000049,-0.0738698830786961,5.488147430298139e-15,8.515729464962107e-14
ENSMUSG00000000056,0.4826951859382922,1.4056338521736327e-24,3.2633956456704836e-23
ENSMUSG00000000058,-0.174392404097646,0.293509214341822,0.4546036075665519
ENSMUSG00000000078,-0.16731847734390956,0.09162546396142977,0.1926468116710492
ENSMUSG00000000085,-0.1360319926794522,0.2743463529350718,0.43362339710939535
ENSMUSG00000000088,-0.2031924563902429,4.272000432213606e-07,3.615976681630804e-06
ENSMUSG00000000093,0.28986472430590643,0.23161627644402658,0.38469812099324935
ENSMUSG00000000120,0.10909521416796952,0.5132230286181303,0.6651821976859733
ENSMUSG00000000126,1.9103368422911056,0.013707419528081702,0.04224128744392283
ENSMUSG00000000127,-0.1601976976339021,0.16575092724923907,0.3003554654696012
ENSMUSG00000000131,-0.28196660838599336,2.6987483815526193e-07,2.325110282521813e-06
ENSMUSG00000000134,-0.39690865489326005,1.313138249211875e-09,1.4317472761004335e-08
ENSMUSG00000000142,0.013095881297447614,0.9464179743908662,0.9689487471233809
ENSMUSG00000000148,0.2593763736416698,0.029678060821538756,0.07932818231020375
ENSMUSG00000000149,-0.20173498089306333,3.8274056046496e-09,4.024824515527798e-08
ENSMUSG00000000154,-0.2230551015378452,1.2804266449657283e-07,1.1446732467646717e-06
ENSMUSG00000000157,0.07478092900719188,0.860363541140786,0.9189949295470178
ENSMUSG00000000159,-0.08178988358116318,0.2646511072120326,0.4234582282357313
ENSMUSG00000000167,0.11708952377349502,0.8272801018093051,0.8980086825447416
ENSMUSG00000000168,-0.023305679726298656,0.6539239207264997,0.780211082851347
ENSMUSG00000000171,-0.07704965505097922,0.007926849250028983,0.02678542910291037
ENSMUSG00000000184,0.26553213460405495,0.01299403469421099,0.040429526544660685
ENSMUSG00000000194,0.12189855540988292,0.13679706711507078,0.26070977893958497
ENSMUSG00000000204,-0.13749673335837354,0.7773388749224599,0.8660423080546403
ENSMUSG00000000244,0.5519751732215218,0.396526121775585,0.5605284135670469
ENSMUSG00000000247,0.703618090630382,0.010052613523244418,0.032646676521954264
ENSMUSG00000000253,0.6305136391811391,0.15419305697198002,0.2848613864533205
ENSMUSG00000000266,-0.15921822860129653,0.1689870171723892,0.30461068979854256
ENSMUSG00000000275,0.06192580981706095,0.07055940871676906,0.1573547177781594
ENSMUSG00000000276,-0.0392329425177835,0.8786396647595422,0.9297044605731323
ENSMUSG00000000278,-0.0029104914502233008,0.9596197300349417,0.9770869229050627
ENSMUSG00000000282,0.16375381437576267,0.18368208935180527,0.3235814442608993
ENSMUSG00000000290,-0.1334855816744394,0.22206651643177383,0.37266140730327785
ENSMUSG00000000295,0.3771115389611195,0.4307800658426225,0.5926056701901674
ENSMUSG00000000296,-0.22983439163625205,0.11700427607976377,0.23153409617988627
ENSMUSG00000000301,0.10413266373120324,1.8123111454112794e-05,0.00011786884765692744
ENSMUSG00000000303,-0.0433820748937858,0.4372397910397515,0.5983995331852429
ENSMUSG00000000305,-0.562662313220852,0.275538459037419,0.43483985168953415
ENSMUSG00000000317,-0.7109982209592269,0.00014695015302488738,0.0008014000044334992
ENSMUSG00000000318,0.11703752163543163,0.8446622466495937,0.9097767842907127
ENSMUSG00000000320,-0.06022303437822517,0.8789750807758643,0.9298681836438653
ENSMUSG00000000325,0.40851887676578386,0.00045199947351303403,0.002200006264680874
ENSMUSG00000000326,0.01839617375267829,0.1749907269894875,0.31282885191476717
ENSMUSG00000000339,0.04815193932290716,0.7249711432595778,0.8303285964973756
ENSMUSG00000000340,-0.24945443400169492,2.44864771416403e-11,3.043854433090053e-10
ENSMUSG00000000346,-0.26601806605191924,7.804070153638885e-16,1.269621065353327e-14
ENSMUSG00000000355,-0.009216784721661072,0.9060944686087846,0.945982722535233
ENSMUSG00000000359,-0.22341949430847813,0.6970582234467628,0.8108711506777103
ENSMUSG00000000374,-0.06527890348720013,0.3141559310590685,0.4770558172230148
ENSMUSG00000000378,-0.31896422969018856,0.0001336977686161881,0.0007353615424529134
ENSMUSG00000000384,-0.051771890221734396,0.43642967635120145,0.5974497050173966
ENSMUSG00000000385,-0.016348302621148454,0.9344003656129841,0.9627741086958663
ENSMUSG00000000386,0.21865544710723842,0.45049864291605035,0.6111280685336
ENSMUSG00000000392,0.6368376931247303,0.4509240102392954,0.6114901883253827
ENSMUSG00000000399,-0.16993881779245842,1.684793472082545e-05,0.0001103118168595522
ENSMUSG00000000409,0.7803526701674319,0.024338995528890708,0.06729401002337816
ENSMUSG00000000416,-1.3176117110057755,0.08183807408339643,0.17678718703981494
ENSMUSG00000000420,0.027845046703551472,0.5600956867686775,0.7042362821094236
ENSMUSG00000000439,0.07708574253652094,0.44482619002315094,0.6058284710451153
ENSMUSG00000000440,0.13108875315706892,0.23670926418055566,0.39086142563460946
ENSMUSG00000000441,-0.38407299714797244,2.3491127191275685e-22,5.093813380703726e-21
ENSMUSG00000000486,0.5039952261256546,0.15994008473475058,0.2924689053914265
ENSMUSG00000000489,0.5919019988271311,0.0699922032138807,0.15627037243949446
ENSMUSG00000000530,0.17166395755875163,0.3679405829014283,0.5334430143126258
ENSMUSG00000000531,-0.06708280439957705,0.8302494851220579,0.8994612168128167
ENSMUSG00000000532,0.3155857175590197,0.005766216130255847,0.02043723848370524
ENSMUSG00000000538,-0.0419372149651594,0.4725829354248464,0.6312690725059875
ENSMUSG00000000552,-0.50207930005548,7.843515340832472e-05,0.00045084152400265274
ENSMUSG00000000555,-0.2782158640347259,0.0009421240831087189,0.004246847801201609
ENSMUSG00000000561,-0.07041102002876831,0.27317290175455344,0.4324098039509039
ENSMUSG00000000563,-0.07021144331805466,0.0018106982591631013,0.007527024885088616
ENSMUSG00000000567,-0.5993640993936185,0.00043011480480783756,0.0021047678197870694
ENSMUSG00000000568,0.20208079622485056,0.008753223639102279,0.029031368370375957
ENSMUSG00000000579,-0.26643934519302903,0.34550641986916597,0.5100175558236977
ENSMUSG00000000581,-0.17176200421679122,0.007777853519089066,0.02635695357357684
ENSMUSG00000000594,-0.35985171505537994,2.2601973668582896e-21,4.628008905427737e-20
ENSMUSG00000000600,-0.07904405703164032,0.30504646923804246,0.4672449451024223
ENSMUSG00000000605,-0.044192634474224154,0.3225051919702559,0.48567671272227675
ENSMUSG00000000628,-0.31288656148751426,0.4138393695698741,0.5772216123217352
ENSMUSG00000000631,-0.1379638211160839,0.000170905446130072,0.0009222681519755966
ENSMUSG00000000673,0.06355195093683341,0.000702852101837511,0.0032655232020070216
ENSMUSG00000000682,0.12260377386140439,0.4261025622244474,0.5882421847772706
ENSMUSG00000000686,0.41844588223089635,1.0077355602348142e-07,9.098496675125905e-07
ENSMUSG00000000693,0.10963986289036827,0.678181440663453,0.7972014056953747
ENSMUSG00000000708,-0.3920305863391775,9.719743921067055e-26,2.3781794991656775e-24
ENSMUSG00000000711,-0.06747020230470963,0.037518451750890636,0.09596887835244852
ENSMUSG00000000732,-0.0029738921978672613,0.9937665902783148,0.9955721489395174
ENSMUSG00000000738,-0.11798455747852601,0.04750968519592569,0.11549394264523645
ENSMUSG00000000739,1.2754645611446098,2.910692676562101e-20,5.674013160788167e-19
ENSMUSG00000000740,-0.13354406194091706,0.03907020190435342,0.09911351416386993
ENSMUSG00000000743,0.04249779019497311,0.39577337709751914,0.5598117424652861
ENSMUSG00000000751,0.36111470214290564,9.32182668551888e-08,8.450950217130122e-07
ENSMUSG00000000753,-0.06628602170585295,5.2271617916799035e-05,0.00031171166821840877
ENSMUSG00000000759,-0.12800601584488147,0.11839115578163364,0.23350039015235588
ENSMUSG00000000776,0.3907399344780956,0.0036559270005007078,0.013800454024628466
ENSMUSG00000000782,-0.10851891974763068,0.5803909613345606,0.7207624678766031
ENSMUSG00000000787,-0.41491366596957907,5.582664095077777e-74,3.045609574696318e-72
ENSMUSG00000000791,0.25895022385281913,0.47355363513629967,0.6321828424443865
ENSMUSG00000000804,-0.26640564094594593,1.6457794110805557e-06,1.2826445395089703e-05
ENSMUSG00000000811,0.20030559400716466,0.14042654769027213,0.2660504932863065
ENSMUSG00000000817,-0.8231676445976923,0.27281305146022883,0.4321393995282013
ENSMUSG00000000823,-0.12592693632192928,0.08719150350895674,0.1854777788568185
ENSMUSG00000000826,-0.09844703157833223,0.01645146319872596,0.04910679277302463
ENSMUSG00000000827,0.02484494244743146,0.7320380490626156,0.8343990726820024
ENSMUSG00000000838,0.012585564899045491,0.8583344971524988,0.9178436280327904
ENSMUSG00000000861,0.04445330191242237,0.9550735520619895,0.9747722992189499
ENSMUSG00000000876,-0.3061092710181531,8.58979160226306e-16,1.3945088595934742e-14
ENSMUSG00000000881,-0.09403696302679057,0.3374153632098475,0.5012125423107971
ENSMUSG00000000884,0.6006479614106873,0.06143672099145729,0.14138567536928434
ENSMUSG00000000901,0.840071682675291,0.20169557192254547,0.345990261533711
ENSMUSG00000000902,-0.04961456925735396,0.5879748408845293,0.7268009262142713
