"","abundance.1","abundance.2","abundance.3","abundance.4","abundance.5","abundance.6","counts.1","counts.2","counts.3","counts.4","counts.5","counts.6","length.1","length.2","length.3","length.4","length.5","length.6","countsFromAbundance"
"ENSMUSG00000000001",36.15,34.04,38.34,31.8,43.21,37.89,1212,1187,1154,1031,1274,848,3213,3213,3213,3213,3213,3213,"no"
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,750.5,750.5,750.5,750.5,750.5,750.5,"no"
"ENSMUSG00000000028",0.69,2.01,0.55,0.88,0.64,0.92,15,32,10,16,11,13,2094,1470.08,1957.5,1811.2,1867.8,2035.8,"no"
"ENSMUSG00000000031",0,0.23,0,0.13,0.12,0.19,0,1,0,1,1,1,1219.6,403,1219.6,768,886,768,"no"
"ENSMUSG00000000037",0,0.02,0,0,0.06,0,0,1,0,0,2,0,3248.14,4793.01,3248.14,3248.14,3501,3248.14,"no"
"ENSMUSG00000000049",1547.51,1446.68,1461.44,1423.96,1528.85,1347.49,18423,17917,15619,16395,16006,10709,1141,1141,1141,1141,1141,1141,"no"
"ENSMUSG00000000056",19.37,13.31,20.06,19.51,24.28,23.43,515,593,606,801,733,553,2548.3,4103.47,3224.95,4068.24,3289.98,3388.22,"no"
"ENSMUSG00000000058",2.97,3,3.19,2.46,2.88,4.01,71,60,44,45,46,41,2289.75,1842.86,1471.19,1814.06,1738.5,1469.17,"no"
"ENSMUSG00000000078",2.39,4.27,4.84,3.3,2.98,4.03,104,193,189,139,114,117,4168,4168,4168,4168,4168,4168,"no"
"ENSMUSG00000000085",3.32,6.6,4.74,3.84,4.22,3.78,90,113,103,88,90,64,2594.8,1577.5,2319.75,2268.73,2326.4,2427.85,"no"
"ENSMUSG00000000088",151.51,142.81,164.95,124.44,153.3,128.05,1013.29,993.65,990.37,804.94,901.66,571.69,641,641,641,641,641,641,"no"
"ENSMUSG00000000093",0.75,0.44,0.72,0.61,0.88,0.88,28,17,24,22,29,22,3577,3577,3577,3577,3577,3577,"no"
"ENSMUSG00000000094",0,0,0,0.07,0.04,0,0,0,0,2,1,0,2992,2992,2992,2910,2910,2992,"no"
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,2767,2767,2767,2767,2767,2767,"no"
"ENSMUSG00000000120",0.62,1.63,2.29,1.66,1.8,1.48,22,60,73,57,56,35,3397,3397,3397,3397,3397,3397,"no"
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0,0,0,0,3027,3027,3027,3027,3027,3027,"no"
"ENSMUSG00000000126",0,0.08,0.03,0.15,0.07,0.22,0,3,1,5,2,5,3270,3269.04,3269.04,3269.05,3269.04,3269.05,"no"
"ENSMUSG00000000127",3.98,4.16,3.77,3.68,3.93,3.37,123,133,103,108,103,69,2959,2941.95,2915.86,2909.48,2855.03,2937.85,"no"
"ENSMUSG00000000131",23.26,22.2,14.68,23.85,24.63,23.42,537,606,518,469,447,282,2213.09,2514.46,3766.74,1948.36,1977.86,1729.05,"no"
"ENSMUSG00000000134",8.16,16.28,16.67,12.1,11.28,7.97,263,484,463,359,283,173,3089.57,2738.65,2964.96,2939.84,2735.18,3116.1,"no"
"ENSMUSG00000000142",1.73,1.63,1.03,2.06,1.29,1.33,54,49,18,49.89,32,24,2984.84,2762.76,1867.95,2398.96,2710.22,2581.81,"no"
"ENSMUSG00000000148",3.05,3.04,2.95,4.62,3.77,2.79,101,104,86,145,105,60,3174.5,3154.15,3108.54,3108.04,3031.75,3086.95,"no"
"ENSMUSG00000000149",40.52,43.18,36.58,34.64,34.45,36.97,1423.62,1578.13,1153.5,1176.96,1064.45,867.03,3367,3367,3367,3367,3367,3367,"no"
"ENSMUSG00000000154",57.24,65.23,66.55,60.36,60.88,44.02,844,997,898,857,784,438,1413.14,1408.04,1440.66,1406.96,1403.51,1428.38,"no"
"ENSMUSG00000000157",0.49,0.33,0.38,0.52,0.47,0.26,14,3,7,8,11,4,2757,838.5,1956.5,1518.06,2532,2236,"no"
"ENSMUSG00000000159",18.41,19.8,17.84,16.18,20.03,18.55,291,324,253,247,264,196,1514.69,1507.19,1513.67,1513.08,1436.78,1517.36,"no"
"ENSMUSG00000000167",0.76,0.46,0.36,0.93,0.3,0.52,8,4,3.11,7.12,3,4,1010,802,915.86,760.59,1108,1108,"no"
"ENSMUSG00000000168",22.36,26.32,27.57,23.11,27.66,23.52,532,582,570,534,518,388,2280.31,2036.85,2207.45,2289.97,2041.29,2368.55,"no"
"ENSMUSG00000000171",162.65,130.53,142.64,124.07,155.47,141.37,2101,1754,1654,1550,1766,1219,1238,1238,1238,1238,1238,1238,"no"
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,1765,1765,1765,1765,1765,1765,"no"
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,1183,1183,1183,1183,1183,1183,"no"
"ENSMUSG00000000184",1.75,1.97,2.55,2.23,2.7,2.72,103,121,135,127,140,107,5652,5652,5652,5652,5652,5652,"no"
"ENSMUSG00000000194",5.48,8.85,6.88,6.92,7.38,7.62,201,213,229,217,241,155,3512.38,2217.01,3552.73,3109.44,3559.24,2919.08,"no"
"ENSMUSG00000000197",0,0,0,0,0,0.02,0,0,0,0,0,1,7066,7066,7066,7066,7066,7066,"no"
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,0,1374.86,1374.86,1374.86,1374.86,1374.86,1374.86,"no"
"ENSMUSG00000000204",0.03,0.27,0.24,0.09,0.15,0.26,1.01,10.81,8.35,3.15,4.97,6.72,3654,3654,3654,3654,3654,3654,"no"
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0,1216,1216,1216,1216,1216,1216,"no"
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,398,398,398,398,398,398,"no"
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0,2942,2942,2942,2942,2942,2942,"no"
"ENSMUSG00000000223",0,0,0,0.01,0,0.02,0,0,0,1,0,1,3906.67,3906.67,3906.67,7086,3906.67,7086,"no"
"ENSMUSG00000000244",0.85,0.4,0.08,0.61,0.51,0.28,4,4,1,5,6,1,451.57,930.34,1327,805.93,1287,508,"no"
"ENSMUSG00000000247",1.25,0.79,0.98,1.22,1.37,1.28,18,20,10,18,24,23,1384.88,2326.5,1086.67,1467,1915.72,2581.87,"no"
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,0,0,1442,1442,1442,1442,1442,1442,"no"
"ENSMUSG00000000253",0.58,0.67,0.26,1.21,0.64,0.7,6,10,3,13,9,4,986.4,1370,1233,1068.6,1531,822,"no"
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,2025.67,2025.67,2025.67,2025.67,2025.67,2025.67,"no"
"ENSMUSG00000000266",2.27,2.01,1.84,1.41,2.15,2.6,138,126,94,75,110,87,5821.52,5775.55,5442.35,5270.15,5576.7,4799.65,"no"
"ENSMUSG00000000275",26.88,19.45,23.28,26.5,22.34,25.14,1554,1142,1074,1371,1136,913,5541,5408.01,4925.86,5127.08,5541,5213.36,"no"
"ENSMUSG00000000276",0.49,0.31,0.33,0.35,0.32,0.39,30,17,22,18,19,20,5855,4976.75,7026,5159,6534.73,7370,"no"
"ENSMUSG00000000278",21.15,22.09,20.33,20.81,21.02,22.5,451.88,491,389.93,430,395,321,2048,2048,2048,2048,2048,2048,"no"
"ENSMUSG00000000282",1,3.67,2.98,4.36,4.19,1.75,45,127,110,130,110,45,4297.5,3188.14,3939.38,2957.5,2860,3683.57,"no"
"ENSMUSG00000000290",3.96,4.95,5.7,4.09,4.89,4.56,105,151,140,113,129,75,2541.87,2808.78,2623.87,2738.08,2874.51,2362.5,"no"
"ENSMUSG00000000295",0.83,0.34,0.92,0.84,1.16,0.74,7,3,7,7,9,4,810,810,810,824.72,842.14,776,"no"
